SUBJECTID,mSens,age,emotion,ACTOR,presentNumber,meanAmpNC
01,lowMSens,youngerAgeGroup,A,3,3,5.851
01,lowMSens,youngerAgeGroup,A,3,4,-7.641
01,lowMSens,youngerAgeGroup,A,3,5,-6.725
01,lowMSens,youngerAgeGroup,A,3,6,-11.887
01,lowMSens,youngerAgeGroup,A,3,7,7.172
01,lowMSens,youngerAgeGroup,A,3,8,17.426
01,lowMSens,youngerAgeGroup,A,3,9,1.242
01,lowMSens,youngerAgeGroup,A,3,10,-23.188
01,lowMSens,youngerAgeGroup,A,4,1,-4.145
01,lowMSens,youngerAgeGroup,A,4,2,42.323
01,lowMSens,youngerAgeGroup,A,4,3,-9.665
01,lowMSens,youngerAgeGroup,A,4,4,15.697
01,lowMSens,youngerAgeGroup,A,4,5,-9.615
01,lowMSens,youngerAgeGroup,A,4,6,32.892
01,lowMSens,youngerAgeGroup,A,4,7,33.309
01,lowMSens,youngerAgeGroup,A,4,8,0.234
01,lowMSens,youngerAgeGroup,A,4,9,18.57
01,lowMSens,youngerAgeGroup,A,4,10,30.453
01,lowMSens,youngerAgeGroup,A,5,1,9.93
01,lowMSens,youngerAgeGroup,A,5,2,-4.374
01,lowMSens,youngerAgeGroup,A,5,3,-3.185
01,lowMSens,youngerAgeGroup,A,5,4,-5.109
01,lowMSens,youngerAgeGroup,A,5,5,-0.577
01,lowMSens,youngerAgeGroup,A,5,6,6.955
01,lowMSens,youngerAgeGroup,A,5,7,24.87
01,lowMSens,youngerAgeGroup,A,5,8,-32.501
01,lowMSens,youngerAgeGroup,A,5,9,-30.873
01,lowMSens,youngerAgeGroup,A,5,10,19.572
02,lowMSens,youngerAgeGroup,B,1,1,-16.87
02,lowMSens,youngerAgeGroup,B,1,2,-22.472
02,lowMSens,youngerAgeGroup,B,1,3,-39.998
02,lowMSens,youngerAgeGroup,B,1,4,-16.547
02,lowMSens,youngerAgeGroup,B,1,5,-8.981
02,lowMSens,youngerAgeGroup,B,1,6,-30.058
02,lowMSens,youngerAgeGroup,B,1,7,-45.611
02,lowMSens,youngerAgeGroup,B,1,8,5.447
02,lowMSens,youngerAgeGroup,B,1,9,-10.339
02,lowMSens,youngerAgeGroup,B,1,10,2.28
02,lowMSens,youngerAgeGroup,B,2,1,-10.052
02,lowMSens,youngerAgeGroup,B,2,2,5.246
02,lowMSens,youngerAgeGroup,B,2,3,-22.763
02,lowMSens,youngerAgeGroup,B,2,4,-11.935
02,lowMSens,youngerAgeGroup,B,2,5,-54.077
02,lowMSens,youngerAgeGroup,B,2,6,1.657
02,lowMSens,youngerAgeGroup,B,2,7,-12.653
02,lowMSens,youngerAgeGroup,B,2,8,-16.457
02,lowMSens,youngerAgeGroup,B,2,9,-5.121
02,lowMSens,youngerAgeGroup,B,2,10,-24.393
02,lowMSens,youngerAgeGroup,B,3,1,22.582
02,lowMSens,youngerAgeGroup,B,3,2,-22.707
02,lowMSens,youngerAgeGroup,B,3,3,2.272
02,lowMSens,youngerAgeGroup,B,3,4,9.021
02,lowMSens,youngerAgeGroup,B,3,5,-0.421
02,lowMSens,youngerAgeGroup,B,3,6,14.322
02,lowMSens,youngerAgeGroup,B,3,7,32.194
02,lowMSens,youngerAgeGroup,B,3,8,-19.275
02,lowMSens,youngerAgeGroup,B,3,9,-17.799
02,lowMSens,youngerAgeGroup,B,3,10,-30.874
02,lowMSens,youngerAgeGroup,B,4,1,-9.51
02,lowMSens,youngerAgeGroup,B,4,2,-20.102
02,lowMSens,youngerAgeGroup,B,4,3,3.756
02,lowMSens,youngerAgeGroup,B,4,4,-5.084
02,lowMSens,youngerAgeGroup,B,4,5,-1.412
02,lowMSens,youngerAgeGroup,B,4,6,7.567
02,lowMSens,youngerAgeGroup,B,4,7,14.585
02,lowMSens,youngerAgeGroup,B,4,8,16.94
02,lowMSens,youngerAgeGroup,B,4,9,5.075
02,lowMSens,youngerAgeGroup,B,4,10,-10.414
02,lowMSens,youngerAgeGroup,B,5,1,12.628
02,lowMSens,youngerAgeGroup,B,5,2,19.447
02,lowMSens,youngerAgeGroup,B,5,3,-15.51
02,lowMSens,youngerAgeGroup,B,5,4,16.262
02,lowMSens,youngerAgeGroup,B,5,5,2.771
02,lowMSens,youngerAgeGroup,B,5,6,55.063
02,lowMSens,youngerAgeGroup,B,5,7,-1.388
02,lowMSens,youngerAgeGroup,B,5,8,22.876
02,lowMSens,youngerAgeGroup,B,5,9,16.333
02,lowMSens,youngerAgeGroup,B,5,10,20.458
02,lowMSens,youngerAgeGroup,A,1,1,-41.55
02,lowMSens,youngerAgeGroup,A,1,2,-36.066
02,lowMSens,youngerAgeGroup,A,1,3,-16.966
02,lowMSens,youngerAgeGroup,A,1,4,-30.034
02,lowMSens,youngerAgeGroup,A,1,5,-5.858
02,lowMSens,youngerAgeGroup,A,1,6,-13.375
02,lowMSens,youngerAgeGroup,A,1,7,-4.991
02,lowMSens,youngerAgeGroup,A,1,8,-44.224
02,lowMSens,youngerAgeGroup,A,1,9,-11.801
02,lowMSens,youngerAgeGroup,A,1,10,5.852
02,lowMSens,youngerAgeGroup,A,2,1,-41.598
02,lowMSens,youngerAgeGroup,A,2,2,-30.669
02,lowMSens,youngerAgeGroup,A,2,3,-41.004
02,lowMSens,youngerAgeGroup,A,2,4,-23.387
02,lowMSens,youngerAgeGroup,A,2,5,15.821
02,lowMSens,youngerAgeGroup,A,2,6,-53.162
02,lowMSens,youngerAgeGroup,A,2,7,-31.841
02,lowMSens,youngerAgeGroup,A,2,8,3.576
02,lowMSens,youngerAgeGroup,A,2,9,-28.036
02,lowMSens,youngerAgeGroup,A,2,10,-12.668
02,lowMSens,youngerAgeGroup,A,3,1,5.859
02,lowMSens,youngerAgeGroup,A,3,2,-44.206
02,lowMSens,youngerAgeGroup,A,3,3,-10.907
02,lowMSens,youngerAgeGroup,A,3,4,-17.045
02,lowMSens,youngerAgeGroup,A,3,5,0.811
02,lowMSens,youngerAgeGroup,A,3,6,3.427
02,lowMSens,youngerAgeGroup,A,3,7,-39.147
02,lowMSens,youngerAgeGroup,A,3,8,-16.115
02,lowMSens,youngerAgeGroup,A,3,9,-26.973
02,lowMSens,youngerAgeGroup,A,3,10,2.154
02,lowMSens,youngerAgeGroup,A,4,1,19.182
02,lowMSens,youngerAgeGroup,A,4,2,8.106
02,lowMSens,youngerAgeGroup,A,4,3,19.631
02,lowMSens,youngerAgeGroup,A,4,4,-11.828
02,lowMSens,youngerAgeGroup,A,4,5,3.314
02,lowMSens,youngerAgeGroup,A,4,6,28.58
02,lowMSens,youngerAgeGroup,A,4,7,8.467
02,lowMSens,youngerAgeGroup,A,4,8,1.236
02,lowMSens,youngerAgeGroup,A,4,9,12.356
02,lowMSens,youngerAgeGroup,A,4,10,22.494
02,lowMSens,youngerAgeGroup,A,5,1,-4.652
02,lowMSens,youngerAgeGroup,A,5,2,4.347
02,lowMSens,youngerAgeGroup,A,5,3,-3.079
02,lowMSens,youngerAgeGroup,A,5,4,22.826
02,lowMSens,youngerAgeGroup,A,5,5,-5.273
02,lowMSens,youngerAgeGroup,A,5,6,9.908
02,lowMSens,youngerAgeGroup,A,5,7,51.984
02,lowMSens,youngerAgeGroup,A,5,8,26.248
02,lowMSens,youngerAgeGroup,A,5,9,-1.807
02,lowMSens,youngerAgeGroup,A,5,10,3.213
03,higMSens,olderAgeGroup,B,1,1,-9.796
03,higMSens,olderAgeGroup,B,1,2,-45.553
03,higMSens,olderAgeGroup,B,1,3,34.672
03,higMSens,olderAgeGroup,B,1,4,22.978
03,higMSens,olderAgeGroup,B,1,5,2.276
03,higMSens,olderAgeGroup,B,1,6,-13.216
03,higMSens,olderAgeGroup,B,1,7,2.97
03,higMSens,olderAgeGroup,B,1,8,-5.883
03,higMSens,olderAgeGroup,B,1,9,-1.789
03,higMSens,olderAgeGroup,B,1,10,14.465
03,higMSens,olderAgeGroup,B,2,1,-5.032
03,higMSens,olderAgeGroup,B,2,2,-37.925
03,higMSens,olderAgeGroup,B,2,3,-48.487
03,higMSens,olderAgeGroup,B,2,4,-22.483
03,higMSens,olderAgeGroup,B,2,5,-18.376
03,higMSens,olderAgeGroup,B,2,6,-43.03
03,higMSens,olderAgeGroup,B,2,7,-58.255
03,higMSens,olderAgeGroup,B,2,8,-19.959
03,higMSens,olderAgeGroup,B,2,9,-29.26
03,higMSens,olderAgeGroup,B,2,10,17.686
03,higMSens,olderAgeGroup,B,3,1,-24.163
03,higMSens,olderAgeGroup,B,3,2,-5.253
03,higMSens,olderAgeGroup,B,3,3,-26.271
03,higMSens,olderAgeGroup,B,3,4,-5.115
03,higMSens,olderAgeGroup,B,3,5,-35.47
03,higMSens,olderAgeGroup,B,3,6,-12.05
03,higMSens,olderAgeGroup,B,3,7,40.692
03,higMSens,olderAgeGroup,B,3,8,-6.752
03,higMSens,olderAgeGroup,B,3,9,-15.921
03,higMSens,olderAgeGroup,B,3,10,21.006
03,higMSens,olderAgeGroup,B,4,1,-9.555
03,higMSens,olderAgeGroup,B,4,2,51.853
03,higMSens,olderAgeGroup,B,4,3,-16.252
03,higMSens,olderAgeGroup,B,4,4,25.37
03,higMSens,olderAgeGroup,B,4,5,4.447
03,higMSens,olderAgeGroup,B,4,6,7.135
03,higMSens,olderAgeGroup,B,4,7,1.682
03,higMSens,olderAgeGroup,B,4,8,-19.98
03,higMSens,olderAgeGroup,B,4,9,-10.001
03,higMSens,olderAgeGroup,B,4,10,32.313
03,higMSens,olderAgeGroup,B,5,1,-44.72
03,higMSens,olderAgeGroup,B,5,2,-44.328
03,higMSens,olderAgeGroup,B,5,3,-6.26
03,higMSens,olderAgeGroup,B,5,4,5.621
03,higMSens,olderAgeGroup,B,5,5,-9.166
03,higMSens,olderAgeGroup,B,5,6,17.273
03,higMSens,olderAgeGroup,B,5,7,-41.763
03,higMSens,olderAgeGroup,B,5,8,-1.657
03,higMSens,olderAgeGroup,B,5,9,11.379
03,higMSens,olderAgeGroup,B,5,10,-39.938
03,higMSens,olderAgeGroup,A,1,1,-36.512
03,higMSens,olderAgeGroup,A,1,2,-18.63
03,higMSens,olderAgeGroup,A,1,3,-5.616
03,higMSens,olderAgeGroup,A,1,4,21.614
03,higMSens,olderAgeGroup,A,1,5,-36.247
03,higMSens,olderAgeGroup,A,1,6,-4.782
03,higMSens,olderAgeGroup,A,1,7,-28.547
03,higMSens,olderAgeGroup,A,1,8,-17.03
03,higMSens,olderAgeGroup,A,1,9,16.492
03,higMSens,olderAgeGroup,A,1,10,11.918
03,higMSens,olderAgeGroup,A,2,1,24.895
03,higMSens,olderAgeGroup,A,2,2,-26.466
03,higMSens,olderAgeGroup,A,2,3,-32.315
03,higMSens,olderAgeGroup,A,2,4,-47.054
03,higMSens,olderAgeGroup,A,2,5,-12.936
03,higMSens,olderAgeGroup,A,2,6,22.541
03,higMSens,olderAgeGroup,A,2,7,-14.448
03,higMSens,olderAgeGroup,A,2,8,10.146
03,higMSens,olderAgeGroup,A,2,9,-35.913
03,higMSens,olderAgeGroup,A,2,10,-22.992
03,higMSens,olderAgeGroup,A,3,1,19.585
03,higMSens,olderAgeGroup,A,3,2,-21.186
03,higMSens,olderAgeGroup,A,3,3,-19.853
03,higMSens,olderAgeGroup,A,3,4,-22.313
03,higMSens,olderAgeGroup,A,3,5,-12.751
03,higMSens,olderAgeGroup,A,3,6,9.136
03,higMSens,olderAgeGroup,A,3,7,-23.341
03,higMSens,olderAgeGroup,A,3,8,-3.465
03,higMSens,olderAgeGroup,A,3,9,11.592
03,higMSens,olderAgeGroup,A,3,10,-5.27
03,higMSens,olderAgeGroup,A,4,1,3.248
03,higMSens,olderAgeGroup,A,4,2,7.636
03,higMSens,olderAgeGroup,A,4,3,-6.264
03,higMSens,olderAgeGroup,A,4,4,9.664
03,higMSens,olderAgeGroup,A,4,5,-9.833
03,higMSens,olderAgeGroup,A,4,6,33.748
03,higMSens,olderAgeGroup,A,4,7,-5.563
03,higMSens,olderAgeGroup,A,4,8,-2.894
03,higMSens,olderAgeGroup,A,4,9,14.293
03,higMSens,olderAgeGroup,A,4,10,16.161
03,higMSens,olderAgeGroup,A,5,1,-18.596
03,higMSens,olderAgeGroup,A,5,2,20.096
03,higMSens,olderAgeGroup,A,5,3,6.113
03,higMSens,olderAgeGroup,A,5,4,27.643
03,higMSens,olderAgeGroup,A,5,5,18.914
03,higMSens,olderAgeGroup,A,5,6,-30.198
03,higMSens,olderAgeGroup,A,5,7,-43.161
03,higMSens,olderAgeGroup,A,5,8,20.524
03,higMSens,olderAgeGroup,A,5,9,-10.361
03,higMSens,olderAgeGroup,A,5,10,17.951
04,lowMSens,youngerAgeGroup,B,1,1,-17.923
04,lowMSens,youngerAgeGroup,B,1,2,-46.509
04,lowMSens,youngerAgeGroup,B,1,3,-40.912
04,lowMSens,youngerAgeGroup,B,1,4,29.053
04,lowMSens,youngerAgeGroup,B,1,5,22.188
04,lowMSens,youngerAgeGroup,B,1,6,-7.295
04,lowMSens,youngerAgeGroup,B,1,7,8.672
04,lowMSens,youngerAgeGroup,B,1,8,-2.583
04,lowMSens,youngerAgeGroup,B,1,9,-15.162
04,lowMSens,youngerAgeGroup,B,1,10,6.987
04,lowMSens,youngerAgeGroup,B,2,1,29.55
04,lowMSens,youngerAgeGroup,B,2,2,-20.307
04,lowMSens,youngerAgeGroup,B,2,3,-14.172
04,lowMSens,youngerAgeGroup,B,2,4,24.085
04,lowMSens,youngerAgeGroup,B,2,5,-8.918
04,lowMSens,youngerAgeGroup,B,2,6,12.795
04,lowMSens,youngerAgeGroup,B,2,7,-19.913
04,lowMSens,youngerAgeGroup,B,2,8,1.821
04,lowMSens,youngerAgeGroup,B,2,9,-22.783
04,lowMSens,youngerAgeGroup,B,2,10,-19.771
04,lowMSens,youngerAgeGroup,B,3,1,-27.638
04,lowMSens,youngerAgeGroup,B,3,2,-38.458
04,lowMSens,youngerAgeGroup,B,3,3,-6.703
04,lowMSens,youngerAgeGroup,B,3,4,-16.555
04,lowMSens,youngerAgeGroup,B,3,5,-35.014
04,lowMSens,youngerAgeGroup,B,3,6,11.419
04,lowMSens,youngerAgeGroup,B,3,7,20.85
04,lowMSens,youngerAgeGroup,B,3,8,5.844
04,lowMSens,youngerAgeGroup,B,3,9,14.666
04,lowMSens,youngerAgeGroup,B,3,10,14.901
04,lowMSens,youngerAgeGroup,B,4,1,-23.496
04,lowMSens,youngerAgeGroup,B,4,2,-47.295
04,lowMSens,youngerAgeGroup,B,4,3,-12.359
04,lowMSens,youngerAgeGroup,B,4,4,29.12
04,lowMSens,youngerAgeGroup,B,4,5,40.592
04,lowMSens,youngerAgeGroup,B,4,6,13.717
04,lowMSens,youngerAgeGroup,B,4,7,-10.179
04,lowMSens,youngerAgeGroup,B,4,8,12.446
04,lowMSens,youngerAgeGroup,B,4,9,17.151
04,lowMSens,youngerAgeGroup,B,4,10,46.202
04,lowMSens,youngerAgeGroup,B,5,1,20.495
04,lowMSens,youngerAgeGroup,B,5,2,47.173
04,lowMSens,youngerAgeGroup,B,5,3,4.591
04,lowMSens,youngerAgeGroup,B,5,4,-23.71
04,lowMSens,youngerAgeGroup,B,5,5,19.54
04,lowMSens,youngerAgeGroup,B,5,6,-14.002
04,lowMSens,youngerAgeGroup,B,5,7,24.508
04,lowMSens,youngerAgeGroup,B,5,8,11.709
04,lowMSens,youngerAgeGroup,B,5,9,24.435
04,lowMSens,youngerAgeGroup,B,5,10,-30.848
04,lowMSens,youngerAgeGroup,A,1,1,-29.513
04,lowMSens,youngerAgeGroup,A,1,2,11.064
04,lowMSens,youngerAgeGroup,A,1,3,-7.848
04,lowMSens,youngerAgeGroup,A,1,4,-29.411
04,lowMSens,youngerAgeGroup,A,1,5,-18.146
04,lowMSens,youngerAgeGroup,A,1,6,-10.205
04,lowMSens,youngerAgeGroup,A,1,7,-47.491
04,lowMSens,youngerAgeGroup,A,1,8,-4.74
04,lowMSens,youngerAgeGroup,A,1,9,-10.986
04,lowMSens,youngerAgeGroup,A,1,10,-3.656
04,lowMSens,youngerAgeGroup,A,2,1,-6.416
04,lowMSens,youngerAgeGroup,A,2,2,0.599
04,lowMSens,youngerAgeGroup,A,2,3,5.638
04,lowMSens,youngerAgeGroup,A,2,4,14.853
04,lowMSens,youngerAgeGroup,A,2,5,-58.376
04,lowMSens,youngerAgeGroup,A,2,6,-49.758
04,lowMSens,youngerAgeGroup,A,2,7,4.368
04,lowMSens,youngerAgeGroup,A,2,8,-28.611
04,lowMSens,youngerAgeGroup,A,2,9,8.203
04,lowMSens,youngerAgeGroup,A,2,10,13.995
04,lowMSens,youngerAgeGroup,A,3,1,-2.93
04,lowMSens,youngerAgeGroup,A,3,2,13.108
04,lowMSens,youngerAgeGroup,A,3,3,3.677
04,lowMSens,youngerAgeGroup,A,3,4,-43.098
04,lowMSens,youngerAgeGroup,A,3,5,-34.208
04,lowMSens,youngerAgeGroup,A,3,6,-25.364
04,lowMSens,youngerAgeGroup,A,3,7,-26.923
04,lowMSens,youngerAgeGroup,A,3,8,-21.294
04,lowMSens,youngerAgeGroup,A,3,9,-24.925
04,lowMSens,youngerAgeGroup,A,3,10,-25.107
04,lowMSens,youngerAgeGroup,A,4,1,19.076
04,lowMSens,youngerAgeGroup,A,4,2,-11.631
04,lowMSens,youngerAgeGroup,A,4,3,-4.781
04,lowMSens,youngerAgeGroup,A,4,4,-17.227
04,lowMSens,youngerAgeGroup,A,4,5,1.151
04,lowMSens,youngerAgeGroup,A,4,6,-1.717
04,lowMSens,youngerAgeGroup,A,4,7,-11.118
04,lowMSens,youngerAgeGroup,A,4,8,2.735
04,lowMSens,youngerAgeGroup,A,4,9,12.909
04,lowMSens,youngerAgeGroup,A,4,10,-28.568
04,lowMSens,youngerAgeGroup,A,5,1,-31.442
04,lowMSens,youngerAgeGroup,A,5,2,17.386
04,lowMSens,youngerAgeGroup,A,5,3,-7.029
04,lowMSens,youngerAgeGroup,A,5,4,-0.525
04,lowMSens,youngerAgeGroup,A,5,5,1.458
04,lowMSens,youngerAgeGroup,A,5,6,-30.126
04,lowMSens,youngerAgeGroup,A,5,7,11.232
04,lowMSens,youngerAgeGroup,A,5,8,1.138
04,lowMSens,youngerAgeGroup,A,5,9,-10.961
04,lowMSens,youngerAgeGroup,A,5,10,4.107
05,lowMSens,olderAgeGroup,B,1,1,-17.869
05,lowMSens,olderAgeGroup,B,1,2,-2.472
05,lowMSens,olderAgeGroup,B,1,3,-4.781
05,lowMSens,olderAgeGroup,B,1,4,-62.102
05,lowMSens,olderAgeGroup,B,1,5,-28.081
05,lowMSens,olderAgeGroup,B,1,6,-4.449
05,lowMSens,olderAgeGroup,B,1,7,-3.604
05,lowMSens,olderAgeGroup,B,1,8,-10.066
05,lowMSens,olderAgeGroup,B,1,9,2.536
05,lowMSens,olderAgeGroup,B,1,10,-23.523
05,lowMSens,olderAgeGroup,B,2,1,-60.987
05,lowMSens,olderAgeGroup,B,2,2,-33.172
05,lowMSens,olderAgeGroup,B,2,3,-6.543
05,lowMSens,olderAgeGroup,B,2,4,0.395
05,lowMSens,olderAgeGroup,B,2,5,-58.601
05,lowMSens,olderAgeGroup,B,2,6,-12.528
05,lowMSens,olderAgeGroup,B,2,7,1.174
05,lowMSens,olderAgeGroup,B,2,8,23.237
05,lowMSens,olderAgeGroup,B,2,9,-16.819
05,lowMSens,olderAgeGroup,B,2,10,8.986
05,lowMSens,olderAgeGroup,B,3,1,36.925
05,lowMSens,olderAgeGroup,B,3,2,-7.553
05,lowMSens,olderAgeGroup,B,3,3,-23.63
05,lowMSens,olderAgeGroup,B,3,4,-17.194
05,lowMSens,olderAgeGroup,B,3,5,-33.865
05,lowMSens,olderAgeGroup,B,3,6,-26.962
05,lowMSens,olderAgeGroup,B,3,7,13.042
05,lowMSens,olderAgeGroup,B,3,8,-14.495
05,lowMSens,olderAgeGroup,B,3,9,-18.421
05,lowMSens,olderAgeGroup,B,3,10,9.979
05,lowMSens,olderAgeGroup,B,4,1,42.585
05,lowMSens,olderAgeGroup,B,4,2,-15.68
05,lowMSens,olderAgeGroup,B,4,3,-1.735
05,lowMSens,olderAgeGroup,B,4,4,16.209
05,lowMSens,olderAgeGroup,B,4,5,-23.758
05,lowMSens,olderAgeGroup,B,4,6,51.609
05,lowMSens,olderAgeGroup,B,4,7,36.901
05,lowMSens,olderAgeGroup,B,4,8,23.479
05,lowMSens,olderAgeGroup,B,4,9,2.478
05,lowMSens,olderAgeGroup,B,4,10,48.261
05,lowMSens,olderAgeGroup,B,5,1,-31.417
05,lowMSens,olderAgeGroup,B,5,2,7.132
05,lowMSens,olderAgeGroup,B,5,3,43.127
05,lowMSens,olderAgeGroup,B,5,4,8.359
05,lowMSens,olderAgeGroup,B,5,5,12.364
05,lowMSens,olderAgeGroup,B,5,6,-2.96
05,lowMSens,olderAgeGroup,B,5,7,-3.216
05,lowMSens,olderAgeGroup,B,5,8,-21.356
05,lowMSens,olderAgeGroup,B,5,9,16.969
05,lowMSens,olderAgeGroup,B,5,10,27.217
05,lowMSens,olderAgeGroup,A,1,1,-11.027
05,lowMSens,olderAgeGroup,A,1,2,-19.922
05,lowMSens,olderAgeGroup,A,1,3,16.488
05,lowMSens,olderAgeGroup,A,1,4,-32.935
05,lowMSens,olderAgeGroup,A,1,5,-8.516
05,lowMSens,olderAgeGroup,A,1,6,-48.612
05,lowMSens,olderAgeGroup,A,1,7,-14.391
05,lowMSens,olderAgeGroup,A,1,8,-28.56
05,lowMSens,olderAgeGroup,A,1,9,-11.604
05,lowMSens,olderAgeGroup,A,1,10,0.592
05,lowMSens,olderAgeGroup,A,2,1,-9.816
05,lowMSens,olderAgeGroup,A,2,2,1.795
05,lowMSens,olderAgeGroup,A,2,3,-17.527
05,lowMSens,olderAgeGroup,A,2,4,8.064
05,lowMSens,olderAgeGroup,A,2,5,-30.623
05,lowMSens,olderAgeGroup,A,2,6,11.928
05,lowMSens,olderAgeGroup,A,2,7,-49.338
05,lowMSens,olderAgeGroup,A,2,8,-33.973
05,lowMSens,olderAgeGroup,A,2,9,-40.111
05,lowMSens,olderAgeGroup,A,2,10,-8.745
05,lowMSens,olderAgeGroup,A,3,1,-19.986
05,lowMSens,olderAgeGroup,A,3,2,1.17
05,lowMSens,olderAgeGroup,A,3,3,-27.957
05,lowMSens,olderAgeGroup,A,3,4,9.529
05,lowMSens,olderAgeGroup,A,3,5,-13.157
05,lowMSens,olderAgeGroup,A,3,6,-6.754
05,lowMSens,olderAgeGroup,A,3,7,-10.697
05,lowMSens,olderAgeGroup,A,3,8,10.328
05,lowMSens,olderAgeGroup,A,3,9,16.549
05,lowMSens,olderAgeGroup,A,3,10,-40.151
05,lowMSens,olderAgeGroup,A,4,1,24.665
05,lowMSens,olderAgeGroup,A,4,2,19.575
05,lowMSens,olderAgeGroup,A,4,3,-17.21
05,lowMSens,olderAgeGroup,A,4,4,-27.442
05,lowMSens,olderAgeGroup,A,4,5,36.757
05,lowMSens,olderAgeGroup,A,4,6,26.436
05,lowMSens,olderAgeGroup,A,4,7,-9.133
05,lowMSens,olderAgeGroup,A,4,8,-2.281
05,lowMSens,olderAgeGroup,A,4,9,-20.831
05,lowMSens,olderAgeGroup,A,4,10,3.656
05,lowMSens,olderAgeGroup,A,5,1,-21.103
05,lowMSens,olderAgeGroup,A,5,2,25.105
05,lowMSens,olderAgeGroup,A,5,3,-10.712
05,lowMSens,olderAgeGroup,A,5,4,-26.243
05,lowMSens,olderAgeGroup,A,5,5,1.475
05,lowMSens,olderAgeGroup,A,5,6,-30.106
05,lowMSens,olderAgeGroup,A,5,7,23.476
